activity	time	p	p_peak	p_smooth
Classic Rock	1990	0.35714285714285715	1	1
Classic Rock	1991	0.10344827586206896	0.28965517241379307	0.5533010354326968
Classic Rock	1992	0.1322314049586777	0.3702479338842975	0.38909521887788695
Classic Rock	1993	0.18120805369127516	0.5073825503355704	0.4040738930628071
Classic Rock	1994	0.11949685534591195	0.33459119496855344	0.5139912484347079
Classic Rock	1995	0.25	0.7	0.42653039832285106
Classic Rock	1996	0.0875	0.24499999999999997	0.39984848484848484
Classic Rock	1997	0.09090909090909091	0.2545454545454545	0.30701694362984683
Classic Rock	1998	0.15053763440860216	0.421505376344086	0.3075472466601499
Classic Rock	1999	0.08806818181818182	0.2465909090909091	0.30521908701491707
Classic Rock	2000	0.08841463414634146	0.24756097560975607	0.22977538247841656
Classic Rock	2001	0.06970509383378017	0.19517426273458446	0.24023378001308526
Classic Rock	2002	0.09927360774818401	0.27796610169491526	0.25242804254767676
Classic Rock	2003	0.1014799154334038	0.28414376321353063	0.31772377247413747
Classic Rock	2004	0.13966480446927373	0.39106145251396646	0.3555216030400425
Classic Rock	2005	0.1397712833545108	0.39135959339263027	0.3915259695505649
Classic Rock	2006	0.1400560224089636	0.39215686274509803	0.43576422663798403
Classic Rock	2007	0.18706293706293706	0.5237762237762238	0.4909381834413422
Classic Rock	2008	0.19888623707239458	0.5568814638027049	0.524718129601396
Classic Rock	2009	0.176248821866164	0.4934967012252592	0.548947760435678
Classic Rock	2010	0.21302325581395348	0.5964651162790697	0.5068297715661642
Classic Rock	2011	0.1537598204264871	0.43052749719416383	0.44929057811745143
Classic Rock	2012	0.11459968602825746	0.32087912087912085	0.3697549981948369
Classic Rock	2013	0.12780656303972365	0.3578583765112262	0.329160914846212
Classic Rock	2014	0.11026615969581749	0.30874524714828894	0.3282618139471111
Classic Rock	2015	0.11363636363636363	0.3181818181818182	0.2898155834564924
Classic Rock	2016	0.08661417322834646	0.24251968503937008	0.30823383440706276
Classic Rock	2017	0.13	0.364	0.364
Electronic	1991	0.034482758620689655	0.24329501915708812	0.24329501915708812
Electronic	1992	0.008264462809917356	0.05831037649219468	0.1478878537324604
Electronic	1993	0.020134228187919462	0.14205816554809841	0.1111640772559188
Electronic	1994	0.018867924528301886	0.1331236897274633	0.11272596234053116
Electronic	1995	0.008928571428571428	0.06299603174603174	0.16336706765165884
Electronic	1996	0.041666666666666664	0.29398148148148145	0.25402706049635876
Electronic	1997	0.05741626794258373	0.405103668261563	0.4226938551712179
Electronic	1998	0.08064516129032258	0.5689964157706093	0.652088496024192
Electronic	1999	0.13920454545454544	0.982165404040404	0.7536731811294164
Electronic	2000	0.10060975609756098	0.7098577235772359	0.7531646946095142
Electronic	2001	0.08042895442359249	0.5674709562109026	0.6250857055665421
Electronic	2002	0.0847457627118644	0.5979284369114878	0.5774101649457377
Electronic	2003	0.080338266384778	0.5668311017148226	0.5108823263798165
Electronic	2004	0.0521415270018622	0.3678874405131388	0.4938637787472658
Electronic	2005	0.07750952986022872	0.5468727940138359	0.4849871667394788
Electronic	2006	0.0765639589169001	0.5402012656914618	0.5124324824762284
Electronic	2007	0.06381118881118882	0.45022338772338777	0.4554988097493206
Electronic	2008	0.053301511535401754	0.37607177583311235	0.3796136599574482
Electronic	2009	0.04429783223374175	0.3125458163158446	0.3389276556086532
Electronic	2010	0.046511627906976744	0.3281653746770026	0.350827744131506
Electronic	2011	0.058361391694725026	0.411772041401671	0.4201733360299456
Electronic	2012	0.07378335949764521	0.5205825920111634	0.4610759287861754
Electronic	2013	0.06390328151986183	0.4508731529456918	0.4490122163516232
Electronic	2014	0.053231939163498096	0.37558090409801437	0.471472340002223
Electronic	2015	0.08333333333333333	0.5879629629629629	0.6545146223536591
Electronic	2016	0.14173228346456693	1	0.6704320987654321
Electronic	2017	0.06	0.42333333333333334	0.42333333333333334
Hip Hop	1989	0.041666666666666664	0.1523037542662116	0.1523037542662116
Hip Hop	1990	0.07142857142857142	0.2610921501706484	0.22182829233847237
Hip Hop	1991	0.06896551724137931	0.2520889725785571	0.4731504653562706
Hip Hop	1992	0.24793388429752067	0.9062702733196062	0.6314412320145384
Hip Hop	1993	0.20134228187919462	0.735964450145452	0.8769240994416658
Hip Hop	1994	0.27044025157232704	0.9885375748599393	0.759774281372673
Hip Hop	1995	0.15178571428571427	0.5548208191126279	0.7276780539635519
Hip Hop	1996	0.175	0.6396757679180887	0.631357880039845
Hip Hop	1997	0.19138755980861244	0.6995770530888188	0.6494892793572512
Hip Hop	1998	0.16666666666666666	0.6092150170648464	0.6751040016656594
Hip Hop	1999	0.19602272727272727	0.7165199348433136	0.7465191591684764
Hip Hop	2000	0.25	0.9138225255972695	0.8635711955124817
Hip Hop	2001	0.26273458445040215	0.9603711260968624	0.9138502083807959
Hip Hop	2002	0.23728813559322035	0.8673569734482558	0.7947119650858735
Hip Hop	2003	0.1522198731501057	0.5564077957125024	0.6787944073583763
Hip Hop	2004	0.16759776536312848	0.6126184529143706	0.580103490158071
Hip Hop	2005	0.156289707750953	0.5712842218473401	0.7279675582539036
Hip Hop	2006	0.2735760971055089	1	0.7090820593266481
Hip Hop	2007	0.1520979020979021	0.5559619561326046	0.6592047848594803
Hip Hop	2008	0.11535401750198886	0.42165239844583635	0.5199474890076908
Hip Hop	2009	0.15928369462770972	0.5822281124446317	0.4808384410590525
Hip Hop	2010	0.12	0.4386348122866894	0.5440430569366179
Hip Hop	2011	0.16722783389450055	0.6112662460785326	0.6101027881232658
Hip Hop	2012	0.21350078492935637	0.7804073060045756	0.6511800839198317
Hip Hop	2013	0.153713298791019	0.5618666996763868	0.6836981732774855
Hip Hop	2014	0.19391634980988592	0.7088205141514942	0.6912477908953626
Hip Hop	2015	0.2196969696969697	0.8030561588582066	0.6670558247056334
Hip Hop	2016	0.13385826771653545	0.48929080110719947	0.552625323401438
Hip Hop	2017	0.1	0.3655290102389078	0.3655290102389078
Indie/Alternative	1989	0.16666666666666666	0.42735042735042733	0.42735042735042733
Indie/Alternative	1991	0.27586206896551724	0.707338638373121	0.5124389136928321
Indie/Alternative	1992	0.15702479338842976	0.4026276753549481	0.46750497614144493
Indie/Alternative	1993	0.11409395973154363	0.2925486146962657	0.3661123568568283
Indie/Alternative	1994	0.15723270440251572	0.40316078051927107	0.35400325383863435
Indie/Alternative	1995	0.14285714285714285	0.3663003663003663	0.395375937828768
Indie/Alternative	1996	0.1625	0.4166666666666667	0.4204786441628547
Indie/Alternative	1997	0.18660287081339713	0.4784688995215311	0.4362334986273866
Indie/Alternative	1998	0.16129032258064516	0.4135649296939619	0.4138947262886142
Indie/Alternative	1999	0.13636363636363635	0.34965034965034963	0.4029354245719312
Indie/Alternative	2000	0.17378048780487804	0.44559099437148214	0.4117315329961639
Indie/Alternative	2001	0.17158176943699732	0.43995325496665977	0.4690188784191025
Indie/Alternative	2002	0.2033898305084746	0.5215123859191656	0.48853755222024936
Indie/Alternative	2003	0.19661733615221988	0.5041470157749227	0.5885878312511625
Indie/Alternative	2004	0.2886405959031657	0.7401040920593992	0.6460734722657592
Indie/Alternative	2005	0.27064803049555275	0.6939693089629557	0.6623717101782243
Indie/Alternative	2006	0.21568627450980393	0.5530417295123178	0.640552301809611
Indie/Alternative	2007	0.2631118881118881	0.6746458669535593	0.6506124950978567
Indie/Alternative	2008	0.2824184566428003	0.724149888827693	0.7272672094417656
Indie/Alternative	2009	0.3053722902921772	0.7830058725440441	0.7568078337945544
Indie/Alternative	2010	0.29767441860465116	0.763267740011926	0.7466062501818508
Indie/Alternative	2011	0.27048260381593714	0.6935451379895824	0.7257792581168602
Indie/Alternative	2012	0.28100470957613816	0.7205248963490721	0.6824485990493653
Indie/Alternative	2013	0.2469775474956822	0.6332757628094415	0.698252684702768
Indie/Alternative	2014	0.2889733840304182	0.7409573949497903	0.658802919978278
Indie/Alternative	2015	0.23484848484848486	0.6021756021756022	0.7034482626530769
Indie/Alternative	2016	0.2992125984251969	0.7672117908338381	0.7897957976698134
Indie/Alternative	2017	0.39	1	1
Jazz/Soul	1989	0.16666666666666666	0.8055555555555555	0.8055555555555555
Jazz/Soul	1990	0.07142857142857142	0.34523809523809523	0.7169312169312169
Jazz/Soul	1991	0.20689655172413793	1	0.5682474091565001
Jazz/Soul	1992	0.0743801652892562	0.359504132231405	0.6261732640622207
Jazz/Soul	1993	0.10738255033557047	0.5190156599552572	0.5056281906869587
Jazz/Soul	1994	0.1320754716981132	0.6383647798742138	0.6878768132764903
Jazz/Soul	1995	0.1875	0.90625	0.7901030747728862
Jazz/Soul	1996	0.17083333333333334	0.8256944444444445	0.6852361332624491
Jazz/Soul	1997	0.06698564593301436	0.32376395534290275	0.49575733995301063
Jazz/Soul	1998	0.06989247311827956	0.3378136200716846	0.32579732311799375
Jazz/Soul	1999	0.06534090909090909	0.3158143939393939	0.3701456523668365
Jazz/Soul	2000	0.09451219512195122	0.45680894308943093	0.40871775815765715
Jazz/Soul	2001	0.0938337801608579	0.45352993744414655	0.40487217459809055
Jazz/Soul	2002	0.06295399515738499	0.3042776432606941	0.42972256448676743
Jazz/Soul	2003	0.10993657505285412	0.5313601127554616	0.416555436569838
Jazz/Soul	2004	0.0856610800744879	0.4140285536933582	0.44819464089872424
Jazz/Soul	2005	0.08259212198221093	0.3991952562473528	0.43504389473384214
Jazz/Soul	2006	0.10177404295051354	0.49190787426081545	0.40688286168454096
Jazz/Soul	2007	0.06818181818181818	0.32954545454545453	0.4494122251328953
Jazz/Soul	2008	0.10898965791567224	0.5267833465924158	0.4205879750782115
Jazz/Soul	2009	0.08388312912346843	0.4054351240967641	0.466605123304662
Jazz/Soul	2010	0.09674418604651162	0.4675968992248062	0.4320507043694422
Jazz/Soul	2011	0.08754208754208755	0.42312008978675647	0.41830807012054705
Jazz/Soul	2012	0.07535321821036106	0.3642072213500785	0.40157120311738287
Jazz/Soul	2013	0.08635578583765112	0.41738629821531376	0.33404194631900913
Jazz/Soul	2014	0.045627376425855515	0.22053231939163498	0.3591041856669627
Jazz/Soul	2015	0.09090909090909091	0.4393939393939394	0.43563596202738747
Jazz/Soul	2016	0.13385826771653545	0.646981627296588	0.42656963334128695
Jazz/Soul	2017	0.04	0.19333333333333333	0.19333333333333333
Metal	1992	0.0743801652892562	0.6545454545454545	0.6545454545454545
Metal	1993	0.06040268456375839	0.5315436241610739	0.6536439486673752
Metal	1994	0.0880503144654088	0.7748427672955974	0.5664145114379381
Metal	1995	0.044642857142857144	0.3928571428571429	0.6336777478286911
Metal	1996	0.08333333333333333	0.7333333333333333	0.6139933166248955
Metal	1997	0.08133971291866028	0.7157894736842105	0.7353706847764574
Metal	1998	0.08602150537634409	0.756989247311828	0.8242595736653463
Metal	1999	0.11363636363636363	1	0.728752513331585
Metal	2000	0.04878048780487805	0.4292682926829269	0.7359401905011008
Metal	2001	0.08847184986595175	0.7785522788203754	0.6440919257714801
Metal	2002	0.08232445520581114	0.724455205811138	0.7986769134818222
Metal	2003	0.1014799154334038	0.8930232558139535	0.7084953034715543
Metal	2004	0.05772811918063315	0.5080074487895717	0.6384630091160417
Metal	2005	0.05844980940279543	0.5143583227445998	0.46403789023127845
Metal	2006	0.04201680672268908	0.3697478991596639	0.5280354073014212
Metal	2007	0.07954545454545454	0.7000000000000001	0.5736072949466183
Metal	2008	0.07398568019093078	0.6510739856801909	0.6245333015415278
Metal	2009	0.05937794533459001	0.5225259189443922	0.5767503558050936
Metal	2010	0.06325581395348837	0.5566511627906976	0.5868861877388571
Metal	2011	0.07744107744107744	0.6814814814814815	0.5646732048149544
Metal	2012	0.05180533751962323	0.4558869701726845	0.56657244300965
Metal	2013	0.06390328151986183	0.5623488773747841	0.5401724054562539
Metal	2014	0.06844106463878327	0.6022813688212928	0.5659878598431368
Metal	2015	0.06060606060606061	0.5333333333333333	0.5402180240777887
Metal	2016	0.05511811023622047	0.48503937007874015	0.5447909011373578
Metal	2017	0.07	0.6160000000000001	0.6160000000000001
Other	1989	0.20833333333333334	0.7291666666666667	0.7291666666666667
Other	1990	0.2857142857142857	1	0.6568486590038315
Other	1991	0.06896551724137931	0.2413793103448276	0.48128621639593433
Other	1992	0.05785123966942149	0.20247933884297523	0.20276272646304838
Other	1993	0.04697986577181208	0.1644295302013423	0.18834069219716243
Other	1994	0.05660377358490566	0.19811320754716982	0.1625142459161707
Other	1995	0.03571428571428571	0.125	0.14173218029350107
Other	1996	0.029166666666666667	0.10208333333333335	0.15942650186071242
Other	1997	0.07177033492822966	0.25119617224880386	0.18675625096465506
Other	1998	0.05913978494623656	0.20698924731182797	0.20575877621718033
Other	1999	0.045454545454545456	0.15909090909090912	0.18605110904481478
Other	2000	0.054878048780487805	0.19207317073170732	0.198377302746949
Other	2001	0.06970509383378017	0.2439678284182306	0.2668159262703183
Other	2002	0.10411622276029056	0.364406779661017	0.26938773052958714
Other	2003	0.05708245243128964	0.19978858350951376	0.2706225388097921
Other	2004	0.07076350093109869	0.24767225325884543	0.2469935106042773
Other	2005	0.08386277001270648	0.2935196950444727	0.251203416318971
Other	2006	0.06069094304388422	0.2124183006535948	0.22983480975483364
Other	2007	0.05244755244755245	0.18356643356643357	0.19974882283600523
Other	2008	0.05807478122513922	0.20326173428798727	0.19161944269354084
Other	2009	0.05372290292177191	0.1880301602262017	0.19988799584581496
Other	2010	0.059534883720930236	0.20837209302325585	0.1989129845287193
Other	2011	0.05723905723905724	0.20033670033670037	0.2076648358818902
Other	2012	0.061224489795918366	0.2142857142857143	0.20873136330821998
Other	2013	0.06044905008635579	0.21157167530224527	0.20405639222006766
Other	2014	0.053231939163498096	0.18631178707224336	0.23868842685210226
Other	2015	0.09090909090909091	0.31818181818181823	0.2784007555571282
Other	2016	0.09448818897637795	0.33070866141732286	0.30963015986638037
Other	2017	0.08	0.28	0.28
Punk	1989	0.375	1	1
Punk	1990	0.21428571428571427	0.5714285714285714	0.7077175697865353
Punk	1991	0.20689655172413793	0.5517241379310345	0.5800775330555895
Punk	1992	0.23140495867768596	0.6170798898071626	0.5626065625644848
Punk	1993	0.19463087248322147	0.5190156599552572	0.4905084397181511
Punk	1994	0.12578616352201258	0.33542976939203356	0.3800532383538588
Punk	1995	0.10714285714285714	0.2857142857142857	0.4033443146650694
Punk	1996	0.22083333333333333	0.5888888888888889	0.47441583757373235
Punk	1997	0.20574162679425836	0.5486443381180223	0.5512207530883252
Punk	1998	0.1935483870967742	0.5161290322580645	0.5114901133576856
Punk	1999	0.17613636363636365	0.4696969696969697	0.4695300765324369
Punk	2000	0.15853658536585366	0.42276422764227645	0.41664107233321906
Punk	2001	0.13404825737265416	0.3574620196604111	0.33110043594512506
Punk	2002	0.07990314769975787	0.21307506053268765	0.32360632294902675
Punk	2003	0.15010570824524314	0.4002818886539817	0.27728492554101475
