activity	time	p	p_peak	p_smooth
Punk	2004	0.08193668528864059	0.21849782743637491	0.2898403091471597
Punk	2005	0.0940279542566709	0.25074121135112243	0.20621070978568615
Punk	2006	0.056022408963585436	0.14939309056956115	0.20797017523230243
Punk	2007	0.08391608391608392	0.22377622377622378	0.17389034600883538
Punk	2008	0.05568814638027048	0.1485017236807213	0.18273753343339158
Punk	2009	0.06597549481621112	0.17593465284322965	0.15114287486198882
Punk	2010	0.04837209302325581	0.1289922480620155	0.1615001379373638
Punk	2011	0.06734006734006734	0.17957351290684623	0.15448616243005317
Punk	2012	0.058084772370486655	0.15489272632129775	0.20360158463620923
Punk	2013	0.10362694300518134	0.2763385146804836	0.24175811117465376
Punk	2014	0.11026615969581749	0.29404309252217997	0.2507332630069484
Punk	2015	0.06818181818181818	0.1818181818181818	0.17961780010820458
Punk	2016	0.023622047244094488	0.06299212598425197	0.1527145470452557
Punk	2017	0.08	0.21333333333333335	0.21333333333333335
Rock	1989	0.041666666666666664	0.574404761904762	0.574404761904762
Rock	1991	0.034482758620689655	0.47536945812807885	0.42587908869256835
Rock	1992	0.01652892561983471	0.22786304604486426	0.5428160760154618
Rock	1993	0.06711409395973154	0.9252157238734421	0.5288639325903189
Rock	1994	0.031446540880503145	0.43351302785265056	0.7401119648610784
Rock	1995	0.0625	0.8616071428571429	0.5465876759508835
Rock	1996	0.025	0.3446428571428572	0.6219511847801322
Rock	1997	0.04784688995215311	0.6596035543403965	0.40886554729933344
Rock	1998	0.016129032258064516	0.22235023041474655	0.38536717067595677
Rock	1999	0.019886363636363636	0.2741477272727273	0.23554868043705576
Rock	2000	0.01524390243902439	0.2101480836236934	0.24766964920854773
Rock	2001	0.01876675603217158	0.2587131367292225	0.30093137184829705
Rock	2002	0.031476997578692496	0.43393289519197514	0.4154687417387582
Rock	2003	0.040169133192389	0.553760193295077	0.5260475587144479
Rock	2004	0.04283054003724395	0.5904495876562916	0.5215375859660609
Rock	2005	0.030495552731893267	0.42040297694681433	0.4442159831412336
Rock	2006	0.02334267040149393	0.32179538482059494	0.4482402797632956
Rock	2007	0.043706293706293704	0.6025224775224776	0.5164819059270634
Rock	2008	0.045346062052505964	0.625127855438118	0.6084448194828932
Rock	2009	0.043355325164938736	0.597684125488084	0.6170613579831526
Rock	2010	0.045581395348837206	0.6283720930232558	0.60466637992919825
Rock	2011	0.04264870931537598	0.5879429212762547	0.600212951241797
Rock	2012	0.0423861852433281	0.5843238394258803	0.724088920234045
Rock	2013	0.07253886010362694	1	0.8251385457872615
Rock	2014	0.06463878326996197	0.8910917979359044	0.7348011620825309
Rock	2015	0.022727272727272728	0.3133116883116883	0.4738337830049156
Rock	2016	0.015748031496062992	0.21709786276715412	0.40656508845485223
Rock	2017	0.05	0.6892857142857144	0.6892857142857144
