index,artist,company,length,part,song,video,views,year,album_art_url,album_title,album_year,artist_image_url,genre1,genre2
0,Harvey Danger,,28 minutes,Bubba Heckman / Adrian Vega / Intro,Flagpole Sitta,New Thirsty,12433,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/6E75/FA0F/A1CB/582A_medium_front.jpg?cid=339224396,Where Have All The Merrymakers Gone?,1997,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/2D25/FB30/9E19/CECF_medium_front.jpg?cid=339224396,Alternative & Punk,Alternative
1,Joy Division,,28 minutes,Brendan Granstrand,Disorder,New Thirsty,12433,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/8621/2C64/0101/AEFA_medium_front.jpg?cid=339224396,Unknown Pleasures,1979,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/AF8B/017B/F81D/7BDC_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
2,Jenny Lewis,,28 minutes,Brian Foley,You Are What You Love,New Thirsty,12433,2008,,Live At The Echo 061004,,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/BEF8/337F/659D/DB29_medium_front.jpg?cid=339224396,Rock,Alternative Roots
3,Modest Mouse,,28 minutes,Bill Spice,Classy Plastic Lumber,New Thirsty,12433,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F2ED/CDCA/0EEA/2268_medium_front.jpg?cid=339224396,Sad Sappy Sucker,2001,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/72C8/C92F/A311/8375_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
4,Raekwon,,28 minutes,Ax Throwers,Guillotinz,New Thirsty,12433,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/40D1/03B7/F3B9/1942_medium_front.jpg?cid=339224396,Aquemini,1998,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/76E0/8CE0/C944/8312_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
5,Rikk Agnew,,28 minutes,Come Ups,OC Life,New Thirsty,12433,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/7BDC/9B90/0825/3EAB_medium_front.jpg?cid=339224396,All By Myself,1982,,Rock,Mainstream Rock
6,Aretha Franklin,,28 minutes,Darren Baskinger,The House That Jack Built,New Thirsty,12433,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/4BB8/23CF/C886/3AA2_medium_front.jpg?cid=339224396,"The Very Best Of Aretha Franklin, Vol. 1: The 60's",1994,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/54D1/DE9A/1172/954C_medium_front.jpg?cid=339224396,Urban,Classic R&B/Soul
7,Cheyenne's Comin,,28 minutes,Andy Bautista & German Nieves,Come Back To Me,New Thirsty,12433,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/527F/624F/8ACE/9DAD_medium_front.jpg?cid=339224396,Fashion Nugget,1996,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/BE6D/9B1F/7B8B/FD76_medium_front.jpg?cid=339224396,Alternative & Punk,Alternative
0,Chrome Sparks,,43 minutes,Intro,Marijuana,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/0E15/8F31/D7F2/C62D_medium_front.jpg?cid=339224396,Sparks EP,2013,,Electronica,House
1,Billy Preston,,43 minutes,Jake Hintzman,Will It Go Round In Circles,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/6336/7104/6060/5A69_medium_front.jpg?cid=339224396,Billy Preston - The Best,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/CEA6/F051/91C1/5C46_medium_front.jpg?cid=339224396,Urban,Classic R&B/Soul
2,Dr. Dog,,43 minutes,"Troy Kittinger, John Bossart, and Nick Jumping
Eagle",The Old Days,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/786D/829E/6E42/22FF_medium_front.jpg?cid=339224396,Fate,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/840C/FEB3/0533/F7BB_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
3,OMFO,,43 minutes,Dominic Lageson Intro,Magic Mamaliga,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/9FB0/80C3/E99F/4B10_medium_front.jpg?cid=339224396,Trans Balkan Express,2008,,Electronica,Electronica Fusion
4,Tame Impala,,43 minutes,Dominic Lageson,I Don't Really Mind,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/AF49/DF4A/1BBE/5928_medium_front.jpg?cid=339224396,Innerspeaker,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/98B3/6BFA/0362/650B_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
5,Ennio Morricone,,43 minutes,Pierre Sebastian,For A Few Dollars More,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/A134/790E/C933/5BD4_medium_front.jpg?cid=339224396,Movie Masterpieces,2004,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/A21E/43D1/7CFD/8768_medium_front.jpg?cid=339224396,Soundtrack,Original Film/TV Music
6,Gorillaz,,43 minutes,Friends,Do Ya Thing (Extended),Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/555A/D022/34CF/7F9C_medium_front.jpg?cid=339224396,Killa Season,2006,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/E052/2566/D519/CCB4_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
7,Nas,,43 minutes,Fabian Gonzalez,Halftime,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/01AE/AC32/F432/DA2F_medium_front.jpg?cid=339224396,Illmatic,1994,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/3487/4FCF/31C8/F261_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
8,Wise Blood,,43 minutes,Mitchell Stafford and Jake Peterson,B.I.G. E.G.O.,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/860A/5024/B2FE/E09D_medium_front.jpg?cid=339224396,Id,2013,,Alternative & Punk,Indie Rock
9,Outkast,,43 minutes,David Eldridge,Ain't No Thang,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/0F5D/1876/7F34/C319_medium_front.jpg?cid=339224396,Southernplayalisticadillacmuzik,1994,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/76E0/8CE0/C944/8312_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
10,Youth Lagoon,,43 minutes,Paul Jensen,Afternoon,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/36B8/5915/4095/D1A2_medium_front.jpg?cid=339224396,The Year Of Hibernation,2011,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/3DCA/7275/E989/601F_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
11,Rolling Stones,,43 minutes,Graham Wessberg,You Can't Always Get What You Want,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/26DD/1E43/D2AF/D6B9_medium_front.jpg?cid=339224396,Let It Bleed,1969,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/19A1/8D40/3608/A34C_medium_front.jpg?cid=339224396,Rock,Mainstream Rock
12,The Concretes,,43 minutes,Credits,Chico,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/D56F/9AF3/4AD5/D370_medium_front.jpg?cid=339224396,The Concretes,2003,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/A1E9/109C/37A7/0669_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
13,Death Grips,,43 minutes,(Bonus) Bails,No Love,Double Dip,54815,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/A2A0/6D34/FB69/9EBA_medium_front.jpg?cid=339224396,No Love Deep Web,2013,,Urban,Western Hip-Hop/Rap
0,Amon Düül II,Slave Skateboards,51 minutes,Intro,Jail House Frog,Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/467F/CFAF/7C0B/72B4_medium_front.jpg?cid=339224396,Wolf City,2007,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/6B14/AB9B/4488/9CA2_medium_front.jpg?cid=339224396,Rock,70's Rock
1,Iron Claw,Slave Skateboards,51 minutes,Anthony Schultz,Pavement Artist,Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/FE5F/4EF0/3777/FCCB_medium_front.jpg?cid=339224396,Iron Claw,2009,,Rock,Mainstream Rock
2,Brotha Lynch Hung,Slave Skateboards,51 minutes,Pat Burke,Rest in Piss,Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/7D1E/5931/69B3/26DF_medium_front.jpg?cid=339224396,Season Of Da Siccness: The Resurrection,1995,,Urban,Western Hip-Hop/Rap
3,Icecross,Slave Skateboards,51 minutes,Frecks,Jesus Freaks,Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/20F0/AFC9/0270/A107_medium_front.jpg?cid=339224396,Icecross,1973,,Rock,Mainstream Rock
4,Witch,Slave Skateboards,51 minutes,Conhuir Lynn & Friends,Changing,Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/5044/FB1F/ED1E/2B64_medium_front.jpg?cid=339224396,Witch,2006,,Rock,Hard Rock
5,MC5,Slave Skateboards,51 minutes,Danny Dicola,Over and Over,Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/A671/A0A5/D8D9/631C_medium_front.jpg?cid=339224396,High Time,1971,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/C178/990B/5368/B206_medium_front.jpg?cid=339224396,Alternative & Punk,Punk
6,GOD,Slave Skateboards,51 minutes,Matt Mumford,My Pal,Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/DE1A/9277/1390/BF5C_small_front.jpg?cid=339224396,God,2010,,Alternative & Punk,Alternative
7,Dark,Slave Skateboards,51 minutes,Jon Allie,Zero Time,Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/EF4D/15D7/EE1D/B78B_medium_front.jpg?cid=339224396,Round The Edges,2006,,Alternative & Punk,Alternative
8,The Rolling Stones,Slave Skateboards,51 minutes,Jon Goemann,2000 Lightyears From Home,Slave - Radio Television,216312,2009,,Paint It Black,1990,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/19A1/8D40/3608/A34C_medium_front.jpg?cid=339224396,Rock,Mainstream Rock
9,Louis Armstrong,Slave Skateboards,51 minutes,Credits,What A Wonderful World,Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/08B9/962B/78E8/7ED3_medium_front.jpg?cid=339224396,What A Wonderful World,1968,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/0E7F/8E18/C384/5B38_medium_front.jpg?cid=339224396,Jazz,Early Jazz
10,Devo,Slave Skateboards,51 minutes,Trailer 1,S.I.B. (Swelling Itching Brain),Slave - Radio Television,216312,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/9F9B/A1E7/C477/1C90_medium_front.jpg?cid=339224396,Duty Now For The Future,1979,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/A362/97F1/0DCD/1D66_medium_front.jpg?cid=339224396,Alternative & Punk,New Wave Pop
0,Axe Riverboy,,22 minutes,Intro,Carry On,Amigos Y Demonios,23162,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/E5EC/10D6/9100/BFE0_medium_front.jpg?cid=339224396,Tutu To Tango,2007,,Rock,Mainstream Rock
1,Three 6 Mafia,,22 minutes,Juan Algora & Adrian Del Campo,Testing My Gangsta,Amigos Y Demonios,23162,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/DB6E/B2EB/32E5/D895_medium_front.jpg?cid=339224396,Da Unbreakables,2003,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/9659/CC1C/9DDF/9D22_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
