index,artist,company,length,part,song,video,views,year,album_art_url,album_title,album_year,artist_image_url,genre1,genre2
2,The Mary Onettes,,22 minutes,Jose M. Roura,Void,Amigos Y Demonios,23162,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/9EE9/86E6/5FDF/3488_medium_front.jpg?cid=339224396,The Mary Onettes,2007,,Alternative & Punk,Indie Rock
3,The Rolling Stones,,22 minutes,Montage,Undercover Of The Night,Amigos Y Demonios,23162,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/2AAC/DE32/045C/E09B_medium_front.jpg?cid=339224396,Undercover,1983,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/19A1/8D40/3608/A34C_medium_front.jpg?cid=339224396,Rock,Mainstream Rock
4,Chris Joss,,22 minutes,Daniel Lebron,Summer Springs,Amigos Y Demonios,23162,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/6CE5/0D01/2FD5/6A52_medium_front.jpg?cid=339224396,Teraphonic Overdubs,2008,,Electronica,"Downtempo, Lounge & Ambient"
5,Edward Sharpe & The Magnetic Zeros,,22 minutes,Dani Rubio,Janglin,Amigos Y Demonios,23162,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/E83D/BDA6/5C37/9B57_medium_front.jpg?cid=339224396,Up From Below,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/D2C9/4FD5/BB60/4344_medium_front.jpg?cid=339224396,Alternative & Punk,Alternative Folk
6,Belle And Sebastian,,22 minutes,Outro,Song For The Sunshine,Amigos Y Demonios,23162,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/A3FA/C04A/A18B/5AA8_medium_front.jpg?cid=339224396,The Life Pursuit,2006,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/D17C/D173/D6BC/A46F_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
0,Ben Harper,Oakley,8 minutes,Bob Burnquist #1,I Will Not Be Broken,Oakley - Bob Burnquist's Dreamland: A Backyard Progression,31213,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/85C7/DBDA/3940/2523_medium_front.jpg?cid=339224396,Give Till It's Gone,2011,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/162F/C8C5/F4FA/21B3_medium_front.jpg?cid=339224396,Rock,Adult Alternative Rock
1,Ben Harper,Oakley,8 minutes,Bob Burnquist #2,Up To You Now,Oakley - Bob Burnquist's Dreamland: A Backyard Progression,31213,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/671C/2309/857D/5F4E_medium_front.jpg?cid=339224396,White Lies For Dark Times,,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/162F/C8C5/F4FA/21B3_medium_front.jpg?cid=339224396,Rock,Adult Alternative Rock
0,Styles P,Sabotage Productions,,Dylan Sourbeer #1,Ghost Stories Part 2,Sabotage4,34861,2015,,Time Is Of The Essence,,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/DE35/A72B/A4E8/6267_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
1,Eardrum,Sabotage Productions,,Dylan Sourbeer #2,Instrumental,Sabotage4,34861,2015,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/5D0C/E34C/2BFE/80A7_medium_front.jpg?cid=339224396,Automatic For The People,1992,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/26D5/7D89/484D/06F6_medium_front.jpg?cid=339224396,Rock,Adult Alternative Rock
2,Geto Boys,Sabotage Productions,,Josh Kalis,Scarface,Sabotage4,34861,2015,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/B732/71C1/E640/3C35_medium_front.jpg?cid=339224396,The Geto Boys,1990,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/D90A/A47D/1EF2/46A9_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
3,Mac Mall,Sabotage Productions,,Walker Ryan,Sic Wit Tis,Sabotage4,34861,2015,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/8DDA/DEDC/9FC9/0731_medium_front.jpg?cid=339224396,Illegal Business?,1996,,Urban,Western Hip-Hop/Rap
0,The Brian Jonestown Massacre,,59 minutes,Intro,Geezers,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/6608/F3DA/1972/1CB2_medium_front.jpg?cid=339224396,...And This Is Our Music,2002,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/1E82/4C04/E654/D805_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
1,Joe Esposito,,59 minutes,Anthony Rahn,You're The Best,Bummer,28227,2010,,You're The Best,,,Soundtrack,Original Film/TV Music
2,Jeremy Jay,,59 minutes,Pete Clodfelter,Angles On The Balcony,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/C32A/BB0E/2EC8/DE4A_medium_front.jpg?cid=339224396,Airwalker,2007,,Alternative & Punk,Indie Rock
3,DMX,,59 minutes,Friends 1 #1,What's My Name,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/B8D1/A6E6/7A1A/94D1_medium_front.jpg?cid=339224396,...And Then There Was X,1999,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/15C7/B35C/4F40/10A7_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
4,Black Lips,,59 minutes,Neckbeerd Quarter,Fairy Stories,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/DE07/1B2B/9364/FCD8_medium_front.jpg?cid=339224396,Los Valientes Del Mondo Nuevo [Live],2007,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/3E89/500C/1504/3825_medium_front.jpg?cid=339224396,Alternative & Punk,Garage Rock Revival
5,Top Drawer,,59 minutes,Pat Devine,What Happened Before They Took The People Away,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/3809/A3BA/B6E5/EA94_medium_front.jpg?cid=339224396,Solid Oak,2009,,Rock,Mainstream Rock
6,Gucci Mane,,59 minutes,Nick Merisko,Lemonade,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/AE62/EFBF/A9D6/6ED8_medium_front.jpg?cid=339224396,The State Vs. Radric Davis,2009,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/55A1/D1A9/AE3C/230D_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
7,Devo,,59 minutes,Chad Matthews,Beautiful World,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/E0C4/1A77/F8A9/3F84_medium_front.jpg?cid=339224396,New Traditionalists [Explicit] [Bonus Track],1997,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/A362/97F1/0DCD/1D66_medium_front.jpg?cid=339224396,Alternative & Punk,New Wave Pop
8,Hot Lava,,59 minutes,Friends 2 #1,Resolutions '08,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/9B7D/D2F3/ED24/DBED_medium_front.jpg?cid=339224396,Lavalogy,2008,,Rock,Mainstream Rock
9,Jim Noir,,59 minutes,Stop Motion,Eanie Meany 2 (instrumental),Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/EF60/954A/929F/409F_medium_front.jpg?cid=339224396,Tower Of Love,2006,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/7950/E35C/8C84/D956_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
10,Broken Social Scene,,59 minutes,Eric Thomas,Cause=Time,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/3E91/7BB1/E958/D543_medium_front.jpg?cid=339224396,You Forgot It In People,2002,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/CFC1/7546/BDD8/87CB_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
11,T Rex,,59 minutes,Andy Patterson,Buick Mackane,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/E1CD/AB19/1E59/6EB8_medium_front.jpg?cid=339224396,The Slider,1972,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/372C/FF74/5BF6/E89B_medium_front.jpg?cid=339224396,Rock,Hard Rock
12,Cheech & Chong,,59 minutes,Thomas Hawver,Basketball Jones,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/4B68/C36E/EB81/895A_medium_front.jpg?cid=339224396,Los Cochinos,2007,,Other,Comedy
13,Deerhunter,,59 minutes,Credits #1,These Hands,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/CA3B/4EDE/E2E6/6F33_medium_front.jpg?cid=339224396,A Hundred Million Suns,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/98A0/56D7/7D0F/DC1B_medium_front.jpg?cid=339224396,Alternative & Punk,Brit Rock
14,Deerhunter,,59 minutes,Credits #2,Calvary Scars,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/3162/EAA2/D95A/B7A8_medium_front.jpg?cid=339224396,Microcastle,2008,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/70DA/6BCB/1181/06DB_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
15,Devo,,59 minutes,Trailer,Fresh,Bummer,28227,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/C928/4AC9/A93F/E125_medium_front.jpg?cid=339224396,Something For Everybody,2010,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/A362/97F1/0DCD/1D66_medium_front.jpg?cid=339224396,Alternative & Punk,New Wave Pop
0,Explosions In the Sky,Emerica,23 minutes,Intro and Jeremy Leabres,Last Known Surroundings,Emerica - Made: Chapter One,119549,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/53B2/EA2D/89E0/EAF4_medium_front.jpg?cid=339224396,"Take Care, Take Care, Take Care",2011,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/850B/D6B9/59C7/3850_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
1,Witchcraft,Emerica,23 minutes,Collin Provost Intro,The Alchemist,Emerica - Made: Chapter One,119549,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/714B/6E40/7127/0B54_medium_front.jpg?cid=339224396,The Alchemist,2013,,Rock,Hard Rock
2,Radio Moscow,Emerica,23 minutes,Collin Provost,No Time,Emerica - Made: Chapter One,119549,2013,,The Great Escape of Leslie Magnafuzz,2011,,Alternative & Punk,Garage Rock Revival
3,Cuates,Emerica,23 minutes,Leo Romero Intro,Van Song,Emerica - Made: Chapter One,119549,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/D9E4/469E/4688/D1C1_medium_front.jpg?cid=339224396,Destruction By Definition,1996,,Alternative & Punk,Ska Revival
4,The Flaming Lips,Emerica,23 minutes,Leo Romero,She Don't Use Jelly,Emerica - Made: Chapter One,119549,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/5C3E/278C/469C/1432_medium_front.jpg?cid=339224396,Transmissions From The Satellite Heart,1993,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/51CC/3E1A/DF43/5EDA_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
5,Explosions in the Sky,Emerica,23 minutes,Brandon Westgate #1,Catastrophe and the Cure,Emerica - Made: Chapter One,119549,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/4A53/B0A5/4B3A/2907_medium_front.jpg?cid=339224396,All Of A Sudden I Miss Everyone,2007,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/850B/D6B9/59C7/3850_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
6,Explosions in the Sky,Emerica,23 minutes,Brandon Westgate #2,Trembling Hands,Emerica - Made: Chapter One,119549,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/53B2/EA2D/89E0/EAF4_medium_front.jpg?cid=339224396,"Take Care, Take Care, Take Care",2011,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/850B/D6B9/59C7/3850_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
7,Explosions in the Sky,Emerica,23 minutes,Brandon Westgate #3 & Credits,Let Me Back In,Emerica - Made: Chapter One,119549,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/53B2/EA2D/89E0/EAF4_medium_front.jpg?cid=339224396,"Take Care, Take Care, Take Care",2011,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/850B/D6B9/59C7/3850_medium_front.jpg?cid=339224396,Alternative & Punk,Indie Rock
0,Force Of Nature,,40 minutes,Intro/Roofs,Million Way Of Drum,Tengu: God Of Mischief,14980,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/EF74/5DF9/E99B/F0FD_medium_front.jpg?cid=339224396,Impression: Samurai Champloo OST,2014,,Electronica,House
1,Beastie Boys,,40 minutes,Leo Valls & Ben Gore,In 3's,Tengu: God Of Mischief,14980,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/B390/7160/B9CB/C437_medium_front.jpg?cid=339224396,Check Your Head,1992,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/9111/5B73/5FB2/9E4B_medium_front.jpg?cid=339224396,Urban,Western Hip-Hop/Rap
2,Max Roach,,40 minutes,Carlos Young,All Africa,Tengu: God Of Mischief,14980,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/B403/0015/9FA1/0C84_medium_front.jpg?cid=339224396,We Insist!: Freedom Now Suite,2006,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/B38F/42E0/C9BC/508F_medium_front.jpg?cid=339224396,Jazz,Bebop & Modern Jazz
3,Charles Mingus,,40 minutes,SF Nights,Haitian Fight Song,Tengu: God Of Mischief,14980,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/4CB4/E627/4250/7D37_medium_front.jpg?cid=339224396,The Clown,1957,http://akamai-b.cdn.cddbp.net/cds/2.0/image-artist/A38E/B866/D9C5/CAD7_medium_front.jpg?cid=339224396,Jazz,Bebop & Modern Jazz
4,Buckshot LeFonque,,40 minutes,Alex Davis & Matt Town,### Breakfast @ Denny's (Uptown Version),Tengu: God Of Mischief,14980,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/15C3/3662/7B83/10A3_medium_front.jpg?cid=339224396,Buckshot LeFonque,2001,,Jazz,Contemporary Jazz & Fusion
5,ESG,,40 minutes,Ryan Barlow,U.F.O.,Tengu: God Of Mischief,14980,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/7C23/1906/3A5D/9DE6_medium_front.jpg?cid=339224396,ESG,2011,,Alternative & Punk,Indie Rock
6,El Michels Affair,,40 minutes,Billy Rohan,Outro (Enter The 37th Chamber),Tengu: God Of Mischief,14980,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/1CCA/CC05/74B5/F33B_medium_front.jpg?cid=339224396,Enter The 37th Chamber,2009,,Urban,Western Hip-Hop/Rap
7,KMD,,40 minutes,Piro Sierra & Kevrick Evans,Popcorn,Tengu: God Of Mischief,14980,2013,http://akamai-b.cdn.cddbp.net/cds/2.0/cover/61B5/C517/108D/77BB_medium_front.jpg?cid=339224396,Best Of KMD,2004,,Urban,Western Hip-Hop/Rap
